glasses,eyesight,sleep_wkdy,sleep_wknd,id,nsibs,samp,race_eth,sex,region,income,res_1980,res_2002,age_bir
1,1,6,6,11980,7,8,1,2,1,4728,11,11,19
0,1,7,8,11990,2,1,3,1,1,3600,11,11,28
0,1,7,7,12012,0,1,3,1,2,30000,3,11,25
0,2,8,8,12015,3,5,3,2,2,7144,11,11,17
1,1,8,8,12016,1,1,3,1,2,60000,11,11,31
1,3,6,8,12018,7,5,3,2,2,25200,11,11,29
1,2,5,8,12022,1,5,3,2,2,8015,11,11,33
1,4,6,6,12036,2,6,3,2,3,12000,11,11,26
0,1,7,8,12046,1,5,3,2,3,35000,3,11,31
0,2,8,8,12061,6,5,3,2,4,11250,11,11,16
1,2,8,8,12066,5,6,3,2,4,3000,11,11,23
0,2,8,7,12076,2,5,3,2,1,4950,11,11,33
1,3,6,6,12080,5,1,3,1,2,5088,11,11,22
0,2,8,10,12082,3,1,3,1,2,22000,11,11,26
1,2,7,7,12087,2,6,3,2,2,2664,11,11,17
0,1,7,8,12097,5,5,3,2,4,19000,11,11,18
1,1,7,7,12101,3,1,3,1,4,11000,3,11,33
0,1,6,8,12113,4,5,3,2,4,35000,3,11,30
1,2,6,7,12119,5,2,3,1,3,1000,11,11,25
0,3,6,6,12122,9,1,3,1,3,12300,11,11,18
1,3,7,8,12123,4,5,3,2,3,9000,11,11,16
0,2,6,8,12135,4,5,3,2,3,572,11,11,23
1,3,6,6,12149,3,13,2,2,2,4176,11,11,18
1,3,8,8,12150,3,13,2,2,2,3936,11,11,17
1,1,7,8,12181,13,14,1,2,1,10000,11,11,18
0,1,6,9,12193,5,13,2,2,1,4280,11,11,31
1,5,5,5,12194,3,13,2,2,1,3418,11,11,17
0,2,6,6,12196,7,10,2,1,1,25600,3,11,31
1,4,5,5,12222,3,13,2,2,3,2040,11,11,18
1,1,8,13,12237,5,10,2,1,3,9000,5,5,14
0,3,8,8,12278,2,14,1,2,4,6239,11,11,21
1,3,7,9,12284,6,14,1,2,4,9000,3,11,31
0,3,8,12,12300,6,10,2,1,3,12000,11,11,19
0,3,5,8,12566,2,19,2,2,3,4800,11,11,19
0,2,7,12,12589,4,16,2,1,3,5800,11,11,17
0,2,5,5,12648,0,16,2,1,4,3000,11,11,26
1,3,5,7,12659,6,16,2,1,1,6191,1,11,16
0,3,5,5,12667,3,20,1,2,1,4500,11,11,21
